alias,canonical_slug,team_display,ncaa_id,espn_id
NC State,north-carolina-state,NC State,,
N.C. State,north-carolina-state,NC State,,
North Carolina St,north-carolina-state,NC State,,
Col. of Charleston,charleston,Charleston,,
College of Charleston,charleston,Charleston,,
Cal Bap,ca-baptist,CA Baptist,,
Connecticut,uconn,UConn,,
GA Southern,georgia-southern,Georgia Southern,,
LMU,loyola-marymount,Loyola Marymount,,
Mississippi,ole-miss,Ole Miss,,
Southern California,usc,USC,,
Western Ill.,western-illinois,Western Illinois,,
W Illinois,western-illinois,Western Illinois,,
Kentucky,kentucky,Kentucky,,
Eastern Kentucky,e-kentucky,Eastern Kentucky,,
E. Kentucky,e-kentucky,Eastern Kentucky,,
WVU,west-virginia,West Virginia,,
WIU,western-illinois,Western Illinois,,
NDSU,n-dakota-state,N Dakota St,,
McNeese,mcneese-state,McNeese St,,
