team,conference,bart_rank,barthag
Connecticut,BE,1,.9996
UCLA,B10,2,.9991
Texas,SEC,3,.9988
South Carolina,SEC,4,.9987
LSU,SEC,5,.9978
Michigan,B10,6,.9952
Duke,ACC,7,.9937
Minnesota,B10,8,.9915
Vanderbilt,SEC,9,.9908
Iowa,B10,10,.9907
Louisville,ACC,11,.9906
Maryland,B10,12,.9893
Ohio St.,B10,13,.9892
Oklahoma,SEC,14,.9890
TCU,B12,15,.9886
West Virginia,B12,16,.9882
Kentucky,SEC,17,.9881
North Carolina,ACC,18,.9865
Washington,B10,19,.9834
USC,B10,20,.9826
Mississippi,SEC,21,.9824
Michigan St.,B10,22,.9819
Tennessee,SEC,23,.9805
Notre Dame,ACC,24,.9802
N.C. State,ACC,25,.9768
Nebraska,B10,26,.9751
Oregon,B10,27,.9743
Villanova,BE,28,.9741
Alabama,SEC,29,.9729
Texas Tech,B12,30,.9716
Georgia,SEC,31,.9715
Illinois,B10,32,.9711
Oklahoma St.,B12,33,.9676
Iowa St.,B12,34,.9665
Baylor,B12,35,.9641
Colorado,B12,36,.9614
Virginia Tech,ACC,37,.9592
Florida,SEC,38,.9526
Syracuse,ACC,39,.9507
Virginia,ACC,40,.9438
Mississippi St.,SEC,41,.9420
Stanford,ACC,42,.9410
James Madison,SB,43,.9368
Richmond,A10,44,.9334
Arizona St.,B12,45,.9332
Indiana,B10,46,.9309
California,ACC,47,.9279
Kansas,B12,48,.9262
Clemson,ACC,49,.9231
Texas A&M,SEC,50,.9205
South Dakota St.,Sum,51,.9185
Kansas St.,B12,52,.9124
Utah,B12,53,.9087
Princeton,Ivy,54,.9079
BYU,B12,55,.8997
Seton Hall,BE,56,.8988
Marquette,BE,57,.8933
Columbia,Ivy,58,.8913
Rhode Island,A10,59,.8904
Georgia Tech,ACC,60,.8885
Fairfield,MAAC,61,.8885
Gonzaga,WCC,62,.8835
George Mason,A10,63,.8823
North Dakota St.,Sum,64,.8812
Miami FL,ACC,65,.8782
Harvard,Ivy,66,.8652
Montana St.,BSky,67,.8650
Creighton,BE,68,.8599
Wisconsin,B10,69,.8583
Colorado St.,MWC,70,.8539
South Florida,Amer,71,.8486
Penn St.,B10,72,.8463
Missouri,SEC,73,.8357
San Diego St.,MWC,74,.8354
Georgetown,BE,75,.8346
Purdue,B10,76,.8339
Rice,Amer,77,.8323
Georgia Southern,SB,78,.8271
Oregon St.,WCC,79,.8190
Miami OH,MAC,80,.8153
Ball St.,MAC,81,.8139
St. John's,BE,82,.8107
UNLV,MWC,83,.8106
Davidson,A10,84,.8099
Louisiana Tech,CUSA,85,.8086
Auburn,SEC,86,.7990
Troy,SB,87,.7935
McNeese St.,Slnd,88,.7932
Green Bay,Horz,89,.7870
Idaho,BSky,90,.7845
UC Irvine,BW,91,.7840
Santa Clara,WCC,92,.7805
Cincinnati,B12,93,.7677
Quinnipiac,MAAC,94,.7640
Saint Joseph's,A10,95,.7618
Loyola Marymount,WCC,96,.7598
North Texas,Amer,97,.7535
Vermont,AE,98,.7498
Florida St.,ACC,99,.7495
Massachusetts,MAC,100,.7452
Arkansas St.,SB,101,.7444
Arkansas,SEC,102,.7370
Lindenwood,OVC,103,.7295
Butler,BE,104,.7261
Murray St.,MVC,105,.7244
Western Illinois,OVC,106,.7224
Abilene Christian,WAC,107,.7065
Arizona,B12,108,.7025
Belmont,MVC,109,.7020
Northwestern,B10,110,.7007
New Mexico,MWC,111,.6983
Hawaii,BW,112,.6908
Boise St.,MWC,113,.6810
Central Arkansas,ASun,114,.6760
Providence,BE,115,.6723
UC San Diego,BW,116,.6712
Southern Indiana,OVC,117,.6689
Portland,WCC,118,.6673
Pepperdine,WCC,119,.6616
Wake Forest,ACC,120,.6602
Eastern Kentucky,ASun,121,.6591
Navy,Pat,122,.6505
Cal Baptist,WAC,123,.6448
Marshall,SB,124,.6432
East Carolina,Amer,125,.6284
Charleston,CAA,126,.6252
South Dakota,Sum,127,.6174
Penn,Ivy,128,.6162
Ohio,MAC,129,.6153
Fairleigh Dickinson,NEC,130,.6142
Northern Colorado,BSky,131,.6122
Purdue Fort Wayne,Horz,132,.6120
Brown,Ivy,133,.6111
Grand Canyon,MWC,134,.6074
Rutgers,B10,135,.6042
Northern Iowa,MVC,136,.5923
Missouri St.,CUSA,137,.5921
Xavier,BE,138,.5866
Temple,Amer,139,.5865
Army,Pat,140,.5822
Central Michigan,MAC,141,.5814
UC Santa Barbara,BW,142,.5808
Idaho St.,BSky,143,.5794
UCF,B12,144,.5750
Jacksonville,ASun,145,.5714
Old Dominion,SB,146,.5673
Cleveland St.,Horz,147,.5670
UTSA,Amer,148,.5646
Youngstown St.,Horz,149,.5639
La Salle,A10,150,.5628
Toledo,MAC,151,.5602
San Francisco,WCC,152,.5592
Liberty,CUSA,153,.5501
Coastal Carolina,SB,154,.5473
Fresno St.,MWC,155,.5450
