canonical_slug,team_display,conference,ncaa_team,ncaa_conference,net_rank,wab_rank,wab,q1_w,q1_l,q2_w,q2_l,q3_w,q3_l,q4_w,q4_l,bart_team,bart_conference,bart_rank,barthag,present_in_ncaa,present_in_bart
abilene-christian,Abilene Christian,WAC,Abilene Christian,WAC,106,120,-7.13,0,1,0,0,2,0,18,8,Abilene Christian,WAC,109,.7031,1,1
air-force,Air Force,Mountain West,Air Force,Mountain West,213,248,-14.76,0,0,0,2,1,9,14,7,Air Force,MWC,195,.3838,1,1
akron,Akron,MAC,Akron,MAC,291,321,-19.97,0,2,0,2,0,4,5,16,Akron,MAC,288,.1337,1,1
alabama,Alabama,SEC,Alabama,SEC,27,20,4.65,5,8,4,1,4,1,10,0,Alabama,SEC,29,.9727,1,1
alabama-a-and-m,Alabama A&M,SWAC,Alabama A&M,SWAC,209,114,-6.43,0,3,0,1,0,1,19,5,Alabama A&M,SWAC,234,.2891,1,1
alabama-state,Alabama St.,SWAC,Alabama St.,SWAC,296,142,-8.54,0,5,0,0,0,1,15,7,Alabama St.,SWAC,322,.0674,1,1
albany,Albany,America East,Albany,America East,189,217,-12.55,0,2,0,3,0,1,13,10,Albany,AE,203,.3705,1,1
alcorn-state,Alcorn St.,SWAC,Alcorn St.,SWAC,308,166,-9.38,0,3,0,1,0,1,14,8,Alcorn St.,SWAC,323,.0657,1,1
american,American,Patriot,American,Patriot,318,340,-21.35,0,1,0,0,0,2,7,20,American,Pat,325,.0583,1,1
appalachian-state,Appalachian St.,Sun Belt,Appalachian St.,Sun Belt,193,246,-14.62,0,3,0,3,0,3,9,10,Appalachian St.,SB,198,.3764,1,1
arizona,Arizona,Big 12,Arizona,Big 12,119,151,-8.78,0,5,1,8,2,2,9,3,Arizona,B12,107,.7058,1,1
arizona-state,Arizona St,Big 12,Arizona St,Big 12,51,42,0.83,1,6,5,2,6,2,12,0,Arizona St.,B12,44,.9343,1,1
arkansas,Arkansas,SEC,Arkansas,SEC,103,119,-7.03,0,11,0,4,3,3,9,2,Arkansas,SEC,102,.7384,1,1
arkansas-pine-bluff,Arkansas Pine Bluff,SWAC,Arkansas Pine Bluff,SWAC,323,236,-14.02,0,1,0,1,0,2,14,12,Arkansas Pine Bluff,SWAC,339,.0393,1,1
arkansas-state,Arkansas St.,Sun Belt,Arkansas St.,Sun Belt,91,103,-5.82,0,0,1,2,1,6,21,1,Arkansas St.,SB,101,.7426,1,1
army-west-point,Army West Point,Patriot,Army West Point,Patriot,123,100,-5.24,0,1,0,0,0,2,23,4,Army,Pat,148,.5674,1,1
auburn,Auburn,SEC,Auburn,SEC,87,72,-2.99,0,12,4,4,1,1,10,0,Auburn,SEC,85,.8006,1,1
austin-peay,Austin Peay,ASUN,Austin Peay,ASUN,157,190,-10.69,0,1,0,0,0,2,17,10,Austin Peay,ASun,163,.5130,1,1
ball-state,Ball St.,MAC,Ball St.,MAC,68,77,-3.27,0,2,0,2,3,1,22,2,Ball St.,MAC,84,.8071,1,1
baylor,Baylor,Big 12,Baylor,Big 12,32,21,4.34,3,6,6,2,4,0,11,0,Baylor,B12,35,.9647,1,1
bellarmine,Bellarmine,ASUN,Bellarmine,ASUN,362,358,-25.07,0,4,0,0,0,4,1,22,Bellarmine,ASun,363,.0038,1,1
belmont,Belmont,MVC,Belmont,MVC,107,104,-5.88,0,5,0,1,1,2,19,4,Belmont,MVC,119,.6697,1,1
bethune-cookman,Bethune Cookman,SWAC,Bethune Cookman,SWAC,345,346,-22.05,0,2,0,2,0,0,5,21,Bethune Cookman,SWAC,353,.0236,1,1
binghamton,Binghamton,America East,Binghamton,America East,178,143,-8.60,0,2,0,2,1,0,16,8,Binghamton,AE,216,.3306,1,1
boise-state,Boise St.,Mountain West,Boise St.,Mountain West,122,110,-6.06,0,0,0,3,1,3,23,3,Boise St.,MWC,114,.6840,1,1
boston-college,Boston College,ACC,Boston College,ACC,245,270,-16.06,0,7,0,7,0,6,5,6,Boston College,ACC,207,.3634,1,1
boston-university,Boston University,Patriot,Boston University,Patriot,285,300,-17.88,0,1,0,0,0,4,10,15,Boston University,Pat,297,.1149,1,1
bowling-green,Bowling Green,MAC,Bowling Green,MAC,188,187,-10.46,0,1,0,2,0,6,13,5,Bowling Green,MAC,181,.4488,1,1
bradley,Bradley,MVC,Bradley,MVC,159,159,-9.24,0,1,0,0,0,5,19,6,Bradley,MVC,157,.5256,1,1
brown,Brown,Ivy League,Brown,Ivy League,139,121,-7.30,0,1,0,4,1,3,14,3,Brown,Ivy,142,.5856,1,1
bryant,Bryant,America East,Bryant,America East,164,191,-10.74,0,0,0,1,0,1,16,10,Bryant,AE,179,.4545,1,1
bucknell,Bucknell,Patriot,Bucknell,Patriot,298,280,-16.94,0,1,0,1,0,3,10,14,Bucknell,Pat,307,.0903,1,1
buffalo,Buffalo,MAC,Buffalo,MAC,310,355,-23.74,0,1,0,3,0,4,3,19,Buffalo,MAC,315,.0752,1,1
butler,Butler,Big East,Butler,Big East,133,202,-11.55,0,4,0,4,2,6,10,5,Butler,BE,105,.7285,1,1
byu,BYU,Big 12,BYU,Big 12,56,46,0.14,0,5,8,4,2,1,12,1,BYU,B12,55,.9013,1,1
ca-baptist,CA Baptist,WAC,CA Baptist,WAC,125,127,-7.58,0,1,0,1,2,2,20,6,Cal Baptist,WAC,113,.6842,1,1
