team,conference,net_rank,wab_rank,wab,q1_w,q1_l,q2_w,q2_l,q3_w,q3_l,q4_w,q4_l
Abilene Christian,WAC,108,120,-7.13,0,1,0,0,2,0,18,9
Air Force,Mountain West,213,248,-14.76,0,0,0,2,1,9,14,7
Akron,MAC,292,321,-19.97,0,2,0,2,0,4,5,16
Alabama,SEC,27,20,4.65,5,8,4,1,4,1,10,0
Alabama A&M,SWAC,209,114,-6.43,0,3,0,1,0,1,19,5
Alabama St.,SWAC,297,142,-8.54,0,5,0,0,0,1,15,8
Albany,America East,188,217,-12.55,0,2,0,1,0,3,13,10
Alcorn St.,SWAC,308,166,-9.38,0,3,0,1,0,1,14,8
American,Patriot,318,340,-21.35,0,1,0,0,0,2,7,20
Appalachian St.,Sun Belt,193,246,-14.62,0,3,0,3,0,3,9,10
Arizona,Big 12,121,151,-8.78,0,5,1,8,2,2,9,3
Arizona St,Big 12,51,42,0.83,1,6,6,2,5,2,12,0
Arkansas,SEC,104,119,-7.03,0,11,0,4,3,3,9,2
Arkansas Pine Bluff,SWAC,323,236,-14.02,0,1,0,1,0,2,14,12
Arkansas St.,Sun Belt,92,103,-5.82,0,0,1,2,1,6,21,1
Army West Point,Patriot,125,100,-5.24,0,1,0,0,0,2,23,4
Auburn,SEC,86,72,-2.99,0,12,4,4,1,1,10,0
Austin Peay,ASUN,156,190,-10.69,0,1,0,0,0,3,17,9
Ball St.,MAC,68,77,-3.27,0,2,0,2,3,1,22,2
Baylor,Big 12,32,21,4.34,3,6,6,2,4,0,11,0
Bellarmine,ASUN,362,358,-25.07,0,4,0,0,0,4,1,22
Belmont,MVC,106,104,-5.88,0,5,0,1,1,3,19,3
Bethune Cookman,SWAC,345,346,-22.05,0,2,0,2,0,0,5,21
Binghamton,America East,177,143,-8.60,0,2,0,1,1,1,16,8
Boise St.,Mountain West,122,110,-6.06,0,0,0,3,1,3,23,3
Boston College,ACC,244,270,-16.06,0,7,0,7,0,6,5,6
Boston University,Patriot,285,300,-17.88,0,1,0,0,0,4,10,15
Bowling Green,MAC,189,187,-10.46,0,1,0,2,0,6,13,5
Bradley,MVC,159,159,-9.24,0,1,0,0,0,6,19,5
Brown,Ivy League,139,121,-7.30,0,1,0,4,1,3,14,3
Bryant,America East,163,191,-10.74,0,0,0,0,0,2,16,10
Bucknell,Patriot,298,280,-16.94,0,1,0,0,0,4,10,14
Buffalo,MAC,310,355,-23.74,0,1,0,2,0,5,3,19
Butler,Big East,134,202,-11.55,0,4,0,4,2,5,10,6
BYU,Big 12,56,46,0.14,0,5,8,4,2,1,12,1
CA Baptist,WAC,118,127,-7.58,0,1,0,1,2,2,21,6
Cal Poly,Big West,338,343,-21.70,0,3,0,2,0,3,2,18
Cal St. Bakersfield,Big West,306,338,-21.18,0,0,0,2,0,4,6,17
Cal St. Fullerton,Big West,195,213,-12.38,0,0,0,1,0,3,16,10
Cal St. Northridge,Big West,277,302,-17.91,0,0,0,2,0,6,8,12
