canonical_slug,team_display,ncaa_id,espn_id,appearances,avg_seed,her_hoop_stats,espn,college_sports_madness
america-east,America East,,,1,1,1,,
american,American,,,1,1,1,,
asun,ASUN,,,1,1,1,,
atlantic-10,Atlantic 10,,,1,1,1,,
big-sky,Big Sky,,,1,1,1,,
big-south,Big South,,,1,1,1,,
caa,CAA,,,1,1,1,,
connecticut,Connecticut,,,1,1,,,1
cusa,CUSA,,,1,1,1,,
horizon,Horizon,,,1,1,1,,
ivy-league,Ivy League,,,1,1,1,,
maac,MAAC,,,1,1,1,,
mac,MAC,,,1,1,1,,
meac,MEAC,,,1,1,1,,
mountain-west,Mountain West,,,1,1,1,,
mvc,MVC,,,1,1,1,,
nec,NEC,,,1,1,1,,
ovc,OVC,,,1,1,1,,
patriot,Patriot,,,1,1,1,,
socon,SoCon,,,1,1,1,,
south-carolina,South Carolina,,,1,1,,,1
southland,Southland,,,1,1,1,,
summit-league,Summit League,,,1,1,1,,
sun-belt,Sun Belt,,,1,1,1,,
swac,SWAC,,,1,1,1,,
wac,WAC,,,1,1,1,,
wcc,WCC,,,1,1,1,,
big-east,Big East,,,1,2,2,,
michigan,Michigan,,,1,2,,,2
vanderbilt,Vanderbilt,,,1,2,,,2
53pm-et,53PM ET,,,1,3,3,,
louisville,Louisville,,,1,3,,,3
oklahoma,Oklahoma,,,1,3,,,3
north-carolina,North Carolina,,,1,4,,,4
west-virginia,West Virginia,,,1,4,,,4
kentucky,Kentucky,,,1,5,,,5
michigan-state,Michigan State,,,1,5,,,5
mississippi,Mississippi,,,1,6,,,6
texas-tech,Texas Tech,,,1,6,,,6
38am-et,38AM ET,,,1,7,7,,
iowa-state,Iowa State,,,1,7,,,7
tennessee,Tennessee,,,1,7,,,7
3-5-6-7-8-9-11-11,"3,5,6,7,8,9,11,11",,,1,8,8,,
44am-et,44AM ET,,,1,8,8,,
oklahoma-state,Oklahoma St.,,,1,8,,,8
virginia-tech,Virginia Tech,,,1,8,,,8
24pm-et,24PM ET,,,1,9,9,,
3-3-4-5-6-8-10-10-10,"3,3,4,5,6,8,10,10,10",,,1,9,9,,
villanova,Villanova,,,1,9,,,9
virginia,Virginia,,,1,9,,,9
0-starts-for-both-louisville-and-duke-in-acc-play-have-both-teams-surging-the-c,0 starts for both Louisville and Duke in ACC play have both teams surging. The C,,,1,10,10,,
princeton,Princeton,,,1,10,,,10
rhode-island,Rhode Island,,,1,10,,,10
1-1-2-2-3-5-6-6-7-8-11,"1,1,2,2,3,5,6,6,7,8,11",,,1,11,11,,
30pm-et,30PM ET,,,1,11,11,,
33pm-et,33PM ET,,,1,11,11,,
arizona-state,Arizona St.,,,1,11,,,11
fairfield,Fairfield,,,1,11,,,11
stanford,Stanford,,,1,11,,,11
1-2-2-4-4-4-5-7-7-8-9-11,"1,2,2,4,4,4,5,7,7,8,9,11",,,1,12,12,,
36am-et,36AM ET,,,1,12,12,,
georgia-southern,Georgia Southern,,,1,12,,,12
n-dakota-state,N. Dakota St.,,,1,12,,,12
green-bay,Green Bay,,,1,13,,,13
louisiana-tech,Louisiana Tech,,,1,13,,,13
charleston,Charleston,,,1,14,,,14
western-illinois,Western Illinois,,,1,14,,,14
idaho,Idaho,,,1,15,,,15
loyola-marymount,Loyola Marymount,,,1,15,,,15
alabama-a-and-m,Alabama A&M,,,1,16,,,16
cal-bap,Cal Bap,,,1,16,,,16
chattanooga,Chattanooga,,,1,16,,,16
howard,Howard,,,1,16,,,16
