canonical_slug,team_display,ncaa_id,espn_id,appearances,avg_seed,her_hoop_stats,espn,college_sports_madness,the_ix
south-carolina,South Carolina,,,2,1,1,,1,
texas,Texas,,,2,1,1,,1,
ucla,UCLA,,,2,1,1,,1,
uconn,UConn,,,2,1,1,,1,
iowa,Iowa,,,2,2,2,,2,
lsu,LSU,,,2,2,2,,2,
vanderbilt,Vanderbilt,,,2,2,2,,2,
duke,Duke,,,2,2.5,2,,3,
michigan,Michigan,,,2,2.5,3,,2,
louisville,Louisville,,,2,3,3,,3,
tcu,TCU,,,2,3,3,,3,
ohio-state,Ohio St.,,,2,3.5,3,,4,
oklahoma,Oklahoma,,,2,3.5,4,,3,
minnesota,Minnesota,,,2,4,4,,4,
west-virginia,West Virginia,,,2,4,4,,4,
maryland,Maryland,,,2,4.5,4,,5,
north-carolina,North Carolina,,,2,4.5,5,,4,
kentucky,Kentucky,,,2,5,5,,5,
michigan-state,Michigan St.,,,2,5,5,,5,
baylor,Baylor,,,2,5.5,6,,5,
ole-miss,Ole Miss,,,2,5.5,5,,6,
north-carolina-state,NC State,,,2,6,6,,6,
notre-dame,Notre Dame,,,2,6,6,,6,
texas-tech,Texas Tech,,,2,6.5,7,,6,
alabama,Alabama,,,2,7,6,,8,
georgia,Georgia,,,2,7,7,,7,
washington,Washington,,,2,7,7,,7,
tennessee,Tennessee,,,2,7.5,8,,7,
iowa-state,Iowa St.,,,2,8,9,,7,
virginia-tech,Virginia Tech,,,2,8,8,,8,
illinois,Illinois,,,2,8.5,7,,10,
oklahoma-state,Oklahoma St.,,,2,8.5,9,,8,
oregon,Oregon,,,2,8.5,8,,9,
usc,USC,,,2,8.5,9,,8,
villanova,Villanova,,,2,8.5,8,,9,
clemson,Clemson,,,2,9.5,10,,9,
princeton,Princeton,,,2,9.5,9,,10,
rhode-island,Rhode Island,,,2,10,10,,10,
syracuse,Syracuse,,,2,10,10,,10,
virginia,Virginia,,,2,10,11,,9,
colorado,Colorado,,,2,10.5,10,,11,
arizona-state,Arizona St.,,,2,11,11,,11,
fairfield,Fairfield,,,2,11,11,,11,
columbia,Columbia,,,1,11,,,11,
nebraska,Nebraska,,,1,11,11,,,
rice,Rice,,,1,11,,,11,
richmond,Richmond,,,1,11,11,,,
south-dakota-state,South Dakota St.,,,1,11,11,,,
stanford,Stanford,,,1,11,,,11,
ball-state,Ball St.,,,1,12,12,,,
georgia-southern,Georgia Southern,,,1,12,,,12,
gonzaga,Gonzaga,,,1,12,12,,,
james-madison,James Madison,,,1,12,12,,,
montana-state,Montana St.,,,1,12,12,,,
n-dakota-state,N Dakota St,,,1,12,,,12,
san-diego-state,San Diego St.,,,1,12,,,12,
louisiana-tech,Louisiana Tech,,,2,13,13,,13,
murray-state,Murray St.,,,2,13,14,,12,
colorado-state,Colorado St.,,,1,13,13,,,
miami-oh,Miami (OH),,,1,13,,,13,
south-fla,South Fla.,,,1,13,13,,,
uc-irvine,UC Irvine,,,2,13.5,13,,14,
vermont,Vermont,,,2,13.5,14,,13,
green-bay,Green Bay,,,2,14,15,,13,
mcneese-state,McNeese St,,,2,14,14,,14,
western-illinois,Western Illinois,,,2,14,14,,14,
charleston,Charleston,,,2,14.5,15,,14,
abilene-christian,Abilene Christian,,,1,15,15,,,
e-kentucky,Eastern Kentucky,,,1,15,,,15,
idaho,Idaho,,,1,15,,,15,
jacksonville,Jacksonville,,,1,15,15,,,
loyola-marymount,Loyola Marymount,,,1,15,,,15,
navy,Navy,,,1,15,,,15,
alabama-a-and-m,Alabama A&M,,,2,16,16,,16,
fdu,FDU,,,2,16,16,,16,
high-point,High Point,,,2,16,16,,16,
howard,Howard,,,2,16,16,,16,
army-west-point,Army West Point,,,1,16,16,,,
ca-baptist,CA Baptist,,,1,16,,,16,
chattanooga,Chattanooga,,,1,16,,,16,
samford,Samford,,,1,16,16,,,
