canonical_slug,team_display,ncaa_id,espn_id,appearances,avg_seed,conference,her_hoop_stats,espn,college_sports_madness,the_ix,cbssports,usatoday
south-carolina,South Carolina,,,6,1,SEC,1,1,1,1,1,1
texas,Texas,,,6,1,SEC,1,1,1,1,1,1
ucla,UCLA,,,6,1,B10,1,1,1,1,1,1
uconn,UConn,,,6,1,BE,1,1,1,1,1,1
iowa,Iowa,,,6,2,B10,2,2,2,2,2,2
lsu,LSU,,,6,2,SEC,2,2,2,2,2,2
vanderbilt,Vanderbilt,,,6,2,SEC,2,2,2,2,2,2
duke,Duke,,,6,2.5,ACC,2,2,3,3,3,2
michigan,Michigan,,,6,2.5,B10,3,3,2,2,2,3
louisville,Louisville,,,6,3,ACC,3,3,3,3,3,3
tcu,TCU,,,6,3,B12,3,3,3,3,3,3
ohio-state,Ohio St.,,,6,3.167,B10,3,3,4,3,3,3
oklahoma,Oklahoma,,,6,3.833,SEC,4,4,3,4,4,4
maryland,Maryland,,,6,4.167,B10,4,4,5,4,4,4
west-virginia,West Virginia,,,6,4.167,B12,4,4,4,4,5,4
minnesota,Minnesota,,,6,4.333,B10,4,4,4,5,4,5
north-carolina,North Carolina,,,6,4.333,ACC,5,5,4,4,4,4
kentucky,Kentucky,,,6,5,SEC,5,5,5,5,5,5
michigan-state,Michigan St,,,6,5,B10,5,5,5,5,5,5
ole-miss,Ole Miss,,,6,5.5,SEC,5,5,6,6,6,5
notre-dame,Notre Dame,,,6,5.667,ACC,6,6,6,5,5,6
baylor,Baylor,,,6,6,B12,6,6,5,6,6,7
alabama,Alabama,,,6,6.333,SEC,6,6,8,6,6,6
washington,Washington,,,6,6.5,B10,7,7,7,6,6,6
texas-tech,Texas Tech,,,6,6.667,B12,7,6,6,7,7,7
north-carolina-state,NC State,,,6,6.833,ACC,6,8,6,7,7,7
georgia,Georgia,,,6,7.167,SEC,7,7,7,7,7,8
oregon,Oregon,,,6,7.333,B10,8,7,9,7,7,6
illinois,Illinois,,,6,7.833,B10,7,7,10,8,8,7
tennessee,Tennessee,,,6,7.833,SEC,8,8,7,8,8,8
usc,USC,,,6,8.333,B10,9,9,8,8,8,8
oklahoma-state,Oklahoma St,,,6,8.5,B12,9,8,8,9,9,8
virginia-tech,Virginia Tech,,,6,8.5,ACC,8,9,8,8,9,9
iowa-state,Iowa St.,,,6,8.833,B12,9,9,7,10,9,9
villanova,Villanova,,,6,9,BE,8,8,9,10,10,9
syracuse,Syracuse,,,6,9.167,ACC,10,9,10,9,8,9
clemson,Clemson,,,6,9.667,ACC,10,10,9,9,10,10
princeton,Princeton,,,6,9.667,Ivy,9,10,10,10,9,10
colorado,Colorado,,,6,10.167,B12,10,10,11,9,10,11
south-dakota-state,South Dakota St,,,5,10.2,Sum,11,10,,10,10,10
rhode-island,Rhode Island,,,6,10.667,A10,10,11,10,11,11,11
richmond,Richmond,,,3,10.667,A10,11,11,,,,10
virginia,Virginia,,,5,10.8,ACC,11,12,9,11,,11
fairfield,Fairfield,,,6,11,MAAC,11,11,11,11,11,11
nebraska,Nebraska,,,5,11,B10,11,11,,11,10,12
columbia,Columbia,,,2,11,Ivy,,,11,,11,
stanford,Stanford,,,1,11,ACC,,,11,,,
arizona-state,Arizona St,,,6,11.167,B12,11,12,11,11,10,12
rice,Rice,,,5,11.2,Amer,,11,11,11,12,11
n-dakota-state,N Dakota St,,,2,11.5,Sum,,,12,,11,
georgia-southern,Georgia Southern,,,2,12,SB,,,12,,12,
james-madison,James Madison,,,2,12,SB,12,,,,,12
san-diego-state,San Diego St.,,,2,12,MWC,,,12,,12,
ball-state,Ball St.,,,1,12,MAC,12,,,,,
gonzaga,Gonzaga,,,1,12,WCC,12,,,,,
montana-state,Montana St.,,,1,12,BSky,12,,,,,
quinnipiac,Quinnipiac,,,1,12,MAAC,,,,12,,
miami-oh,Miami (OH),,,5,12.4,MAC,,12,13,12,13,12
murray-state,Murray St,,,6,12.667,MVC,14,12,12,14,12,12
la-tech,La. Tech,,,6,13,CUSA,13,13,13,13,13,13
troy,Troy,,,2,13,SB,,13,,13,,
colorado-state,Colorado St.,,,1,13,MWC,13,,,,,
south-fla,South Fla.,,,1,13,Amer,13,,,,,
uc-irvine,UC Irvine,,,6,13.167,BW,13,13,14,12,14,13
mcneese-state,McNeese St,,,6,13.5,Slnd,14,14,14,13,13,13
vermont,Vermont,,,6,13.5,AE,14,14,13,12,14,14
green-bay,Green Bay,,,6,13.833,Horz,15,12,13,14,15,14
western-illinois,Western Illinois,,,6,13.833,OVC,14,15,14,13,14,13
unlv,UNLV,,,3,14,MWC,,13,,14,,15
charleston,Charleston,,,6,14.167,CAA,15,14,14,15,13,14
idaho,Idaho,,,5,14.2,BSky,,14,15,14,14,14
loyola-marymount,Loyola Marymount,,,5,15,WCC,,15,15,15,15,15
navy,Navy,,,5,15,Pat,,15,15,15,15,15
abilene-christian,Abilene Christian,,,1,15,WAC,15,,,,,
e-kentucky,Eastern Kentucky,,,1,15,ASun,,,15,,,
fdu,FDU,,,6,15.5,NEC,16,16,16,15,15,15
jacksonville,Jacksonville,,,5,15.6,ASun,15,15,,16,16,16
alabama-a-and-m,Alabama A&M,,,6,16,SWAC,16,16,16,16,16,16
high-point,High Point,,,6,16,BSth,16,16,16,16,16,16
howard,Howard,,,6,16,MEAC,16,16,16,16,16,16
ca-baptist,CA Baptist,,,5,16,WAC,,16,16,16,16,16
samford,Samford,,,4,16,SC,16,16,,16,,16
chattanooga,Chattanooga,,,2,16,SC,,,16,,16,
army-west-point,Army West Point,,,1,16,Pat,16,,,,,
