canonical_slug,team_display,ncaa_id,espn_id,appearances,avg_seed,conference,her_hoop_stats,espn,ncaa,college_sports_madness,the_ix,cbssports,usatoday,the_athletic
texas,Texas,,,8,1,SEC,1,1,1,1,1,1,1,1
ucla,UCLA,,,8,1,B10,1,1,1,1,1,1,1,1
uconn,UConn,,,8,1,BE,1,1,1,1,1,1,1,1
south-carolina,South Carolina,,,8,1.125,SEC,1,1,1,1,2,1,1,1
lsu,LSU,,,8,2,SEC,2,2,2,2,2,2,2,2
vanderbilt,Vanderbilt,,,8,2,SEC,2,2,2,2,2,2,2,2
duke,Duke,,,8,3,ACC,2,2,2,2,10,2,2,2
iowa,Iowa,,,8,3,B10,2,2,2,2,10,2,2,2
louisville,Louisville,,,8,3,ACC,3,3,3,3,3,3,3,3
ohio-state,Ohio St.,,,8,3,B10,3,3,3,3,3,3,3,3
michigan,Michigan,,,7,3,B10,3,3,3,3,,3,3,3
tcu,TCU,,,8,3.125,B12,3,3,3,3,4,3,3,3
oklahoma,Oklahoma,,,8,4,SEC,4,4,4,4,4,4,4,4
north-carolina,North Carolina,,,8,4.375,ACC,4,4,5,4,4,5,4,5
maryland,Maryland,,,8,4.5,B10,5,5,4,5,5,4,4,4
minnesota,Minnesota,,,8,4.75,B10,4,4,4,4,9,4,5,4
michigan-state,Michigan St,,,8,5,B10,5,5,5,5,5,5,5,5
west-virginia,West Virginia,,,8,5,B12,4,4,4,4,12,4,4,4
kentucky,Kentucky,,,8,5.125,SEC,5,5,5,6,5,5,5,5
ole-miss,Ole Miss,,,7,5.143,SEC,5,5,5,5,,6,5,5
notre-dame,Notre Dame,,,7,5.714,ACC,6,6,6,5,,5,6,6
alabama,Alabama,,,8,6.125,SEC,6,6,6,7,6,6,6,6
baylor,Baylor,,,8,6.25,B12,6,6,6,6,6,6,7,7
north-carolina-state,NC State,,,8,6.25,ACC,6,8,6,6,3,7,7,7
washington,Washington,,,7,6.571,B10,7,7,7,7,,6,6,6
texas-tech,Texas Tech,,,8,7,B12,7,6,7,6,9,7,7,7
georgia,Georgia,,,7,7,SEC,7,7,7,7,,7,8,6
oregon,Oregon,,,8,7.5,B10,8,7,8,10,7,7,6,7
illinois,Illinois,,,8,7.625,B10,7,7,7,10,7,8,7,8
tennessee,Tennessee,,,8,8.125,SEC,8,8,8,8,8,8,8,9
iowa-state,Iowa St.,,,7,8.143,B12,8,9,9,,2,10,9,10
usc,USC,,,7,8.143,B10,9,9,8,7,,8,8,8
